State Code,Facility Name,Number of Beds,Inpatient Revenue,Net Patient Revenue,Less Total Operating Expense,Inpatient PPS Amount,Allowable Bad Debts,Net Income from service to patients
TX,D T DAYTON  LLC,60.0,360893.0,360893.0,384898.0,104058.0,0.0,-24005.0
TX,PATHWAYS MEMORY CARE,120.0,527900.0,470838.0,933149.0,50026.0,19590.0,-462311.0
MI,HERITAGE MANOR HEALTHCARE CENTER,180.0,17434758.0,5517588.0,8958721.0,657903.0,17059.0,-3441133.0
TX,HACIENDA OAKS AT BEEVILLE,101.0,1988572.0,1085009.0,1325483.0,151085.0,0.0,-240474.0
CA,BROOKDALE NORTHRIDGE,180.0,875937.0,842798.0,1231964.0,356104.0,0.0,-389166.0
TX,BRUSH COUNTRY NURSING AND REHABILITA,118.0,2299752.0,1745464.0,2217517.0,329626.0,0.0,-472053.0
TX,TRINITY NURSING & REHABILITATION OF,120.0,224014.0,235272.0,985331.0,40113.0,0.0,-750059.0
TX,COTTONWOOD CREEK HEALTHCARE COMMUNIT,106.0,1382984.0,1106122.0,1643687.0,128203.0,0.0,-537565.0
TX,SPRING CREEK NURSING & REHABILITATIO,120.0,428007.0,398631.0,933475.0,24639.0,0.0,-534844.0
TX,MARINE CREEK NURSING & REHABILITATIO,170.0,546727.0,610266.0,854232.0,32623.0,0.0,-243966.0
TX,WESTRIDGE NURSING & REHABILITATION L,120.0,220681.0,268453.0,697602.0,52530.0,0.0,-429149.0
TX,TRINITY NURSING & REHABILITATION OF,76.0,142539.0,161671.0,390415.0,25950.0,0.0,-228744.0
TX,CIMARRON PLACE,120.0,2451582.0,1800572.0,2012582.0,593253.0,19591.0,-212010.0
TX,ROLLINGBROOK REHAB & HC CENTER,130.0,3162031.0,2740486.0,2777131.0,1116741.0,0.0,-36645.0
TX,THE PREMIER SNF OF ALICE,187.0,545972.0,589841.0,917493.0,129691.0,0.0,-327652.0
LA,WYATT MANOR NURSING HOME INC,62.0,934451.0,998521.0,906602.0,120819.0,25957.0,91919.0
TX,KENNEDY HEALTH & REHAB,145.0,124596.0,219861.0,470940.0,242953.0,0.0,-251079.0
TX,LAKE LODGE NURSING & REHABILITATION,140.0,88814.0,93137.0,196563.0,1497.0,0.0,-103426.0
TX,MISSION CARE CENTERS-ALL SEASONS,120.0,3051327.0,1885149.0,2438708.0,110359.0,0.0,-553559.0
TX,CYPRESS WOODS CARE CENTER,105.0,2017770.0,1312039.0,1654259.0,238373.0,0.0,-342220.0
TX,THE HEIGHTS OF ALAMO,130.0,1411499.0,1347093.0,1588880.0,399971.0,0.0,-241787.0
IL,WESTCHESTER HEALTH & REHAB CENTER,120.0,6808678.0,1840911.0,2742953.0,384044.0,15946.0,-902042.0
MI,SUPERIOR WOODS HEALTHCARE CENTER,120.0,13817826.0,4762545.0,5717145.0,956440.0,15446.0,-954600.0
NJ,ARMENIAN NURSING & REHAB,86.0,740951.0,653410.0,1251248.0,158604.0,0.0,-597838.0
TX,BROOKHAVEN NURSING AND REHAB CENTER,180.0,2118321.0,1685786.0,2021780.0,402606.0,0.0,-335994.0
IL,ARCADIA CARE CLIFTON,114.0,964518.0,912389.0,1051429.0,286374.0,0.0,-139040.0
KS,GREAT BEND HEALTH & REHAB,45.0,198857.0,262851.0,399241.0,130920.0,0.0,-136390.0
MI,WARREN WOODS HEALTH & REHAB CENTER,185.0,19150315.0,5387737.0,7285257.0,313940.0,24034.0,-1897520.0
MI,CLINTON-AIRE HEALTHCARE CENTER,150.0,17313714.0,4731175.0,6087247.0,694643.0,19023.0,-1356072.0
NC,THE CARROLTON AT WILLIAMSTON,154.0,2373659.0,2373659.0,2435582.0,495948.0,6688.0,-61923.0
OH,MEADOWBROOK HEALTHCARE,156.0,2752182.0,2625815.0,2867251.0,419022.0,15664.0,-241436.0
OH,ASTORIA PLACE OF BARNESVILLE,96.0,1094678.0,1069455.0,1292653.0,234393.0,0.0,-223198.0
TX,CORPUS NURSING & REHABILTATION  L.P.,114.0,189381.0,248639.0,365640.0,82767.0,0.0,-117001.0
TX,HURST PLAZA NURSING & REHAB,106.0,1957594.0,1393923.0,1522941.0,313386.0,0.0,-129018.0
TX,LA BAHIA NURSING & REHABILITATION  L,90.0,282796.0,321911.0,533886.0,12559.0,0.0,-211975.0
TX,NAZARETH LIVING CARE CENTER,74.0,2676856.0,2284970.0,2178338.0,968381.0,13560.0,106632.0
TX,COLUMBUS OAKS HEALTHCARE COMMUNITY,137.0,2515216.0,1816113.0,2246198.0,356298.0,0.0,-430085.0
TX,ACCEL AT COLLEGE STATION,116.0,3349335.0,2305662.0,2578509.0,791835.0,19476.0,-272847.0
TX,MISSION VALLEY NURSING & REHAB. CTR.,120.0,1876186.0,1876186.0,1778452.0,545637.0,7571.0,97734.0
OH,ASTORIA PLACE OF CAMBRIDGE,162.0,1200611.0,1175824.0,1282278.0,180821.0,0.0,-106454.0
TX,WESTWARD TRAILS NURSING & REHABILITA,108.0,490086.0,521898.0,1352229.0,123234.0,0.0,-830331.0
TX,GULF SHORES REHAB & HEALTHCARE,96.0,870781.0,1108207.0,1303445.0,214308.0,0.0,-195238.0
TX,SILVER SPRING HEALTH & REHAB CENTER,120.0,2426964.0,2005956.0,2113423.0,1058978.0,528.0,-107467.0
MI,CAMBRIDGE NORTH HEALTHCARE CENTER,120.0,12914260.0,4107112.0,5523273.0,564387.0,12594.0,-1416161.0
PA,BELLA HEALTHCARE CENTER,120.0,879244.0,668170.0,688521.0,148399.0,6160.0,-20351.0
TX,RIDGECREST RETIREMENT & HEALTHCARE,90.0,3477113.0,2491295.0,2862155.0,322903.0,0.0,-370860.0
CT,ST CAMILLUS STAMFORD OPCO LLC,124.0,3434945.0,1810325.0,1837253.0,416859.0,0.0,-26928.0
CT,GOVERNORS HOUSE SIMSBURY OPCO LLC,70.0,2298831.0,1276571.0,1226782.0,374300.0,0.0,49789.0
TX,BAYWIND VILLAGE,113.0,4237107.0,3639395.0,3715049.0,1684705.0,0.0,-75654.0
DC,UNITED MEDICAL NURSING HOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,NATURE TRAIL  HEALTH CARE CENTER,19.0,6790556.0,1935361.0,2169415.0,676073.0,27293.0,-234054.0
NC,THE CARROLTON AT LUMBERTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,THE CARROLTON OF DUNN,108.0,2101633.0,2101633.0,2250945.0,317067.0,14960.0,-149312.0
TX,LAKEVIEW REHABILITATION AND HEALTH C,60.0,892860.0,1231487.0,1320089.0,307352.0,0.0,-88602.0
TX,COUNTRY VIEW NURSING & REHABILITATIO,115.0,234000.0,288849.0,564580.0,18930.0,0.0,-275731.0
IA,FOUNAIN WEST HEALTH CENTER,140.0,537830.0,478072.0,630188.0,62036.0,10560.0,-152116.0
NJ,FAMILY OF CARING AT TENAFLY,69.0,536387.0,494925.0,479251.0,275061.0,15748.0,15674.0
RI,PAWTUCKET CENTER,154.0,1559739.0,1488966.0,2139996.0,56624.0,0.0,-651030.0
TX,GARLAND NURSING & REHABILITATION L.P,120.0,226430.0,300941.0,632345.0,71344.0,0.0,-331404.0
NC,THE CARROLTON OF PLYMOUTH,123.0,2552712.0,2552712.0,2478057.0,308269.0,14456.0,74655.0
TX,LINDALE HEALTHCARE CENTER,80.0,572290.0,403263.0,569128.0,61556.0,0.0,-165865.0
TX,THE OAKS AT RADFORD HILLS,116.0,1860407.0,1469539.0,1314160.0,455482.0,0.0,155379.0
TX,PRAIRIE MEADOWS REHABILITATION AND H,120.0,797822.0,825855.0,1122744.0,59308.0,0.0,-296889.0
TX,REFUGIO NURSING & REHABILITATION  L.,64.0,50339.0,45526.0,355996.0,11270.0,0.0,-310470.0
TX,SYLVAN SHORES HEALTH AND WELLNESS,124.0,474657.0,294355.0,446907.0,243597.0,0.0,-152552.0
TX,JACINTO  NURSING & REHAB CENTER,148.0,2113274.0,2040181.0,2280774.0,223075.0,3872.0,-240593.0
TX,CIBOLO CREEK,120.0,2811146.0,2824969.0,2780265.0,557809.0,0.0,44704.0
IN,ST. ANDREWS HEALTH CAMPUS,106.0,2145573.0,1959996.0,2163656.0,598712.0,1232.0,-203660.0
NC,THE CARROLTON AT FAYETTEVILLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,GLEN ROSE NURSING AND REHAB CENTER,118.0,2385220.0,2564566.0,2417493.0,1219300.0,0.0,147073.0
TX,PARK PLACE MANOR INC,114.0,3510863.0,2511828.0,2397027.0,305544.0,0.0,114801.0
TX,REGENCY VILLAGE,122.0,2363946.0,2412735.0,2162832.0,693652.0,0.0,249903.0
TX,WEST HOUSTON REHAB & HC CENTER,124.0,2238278.0,2440194.0,2654882.0,650906.0,0.0,-214688.0
TX,BIVINS POINTE,60.0,2493832.0,1714195.0,4692347.0,519586.0,16028.0,-2978152.0
OH,THE MERRIMAN,60.0,777770.0,736968.0,870760.0,15869.0,23811.0,-133792.0
OH,VALLEY VIEW MANOR NURSING HOME INC,50.0,957863.0,647322.0,689554.0,97064.0,19888.0,-42232.0
OH,STRATFORD CARE AND REHABILITATION,153.0,1266264.0,1038141.0,1389131.0,162851.0,0.0,-350990.0
TX,EDEN HOME  INC.,184.0,4235970.0,3608445.0,8271035.0,1014282.0,4576.0,-4662590.0
PA,QUADRANGLE,542.0,7787895.0,6302962.0,8568869.0,898436.0,0.0,-2265907.0
TX,LBJ MEDICAL CENTER,60.0,688378.0,636781.0,652583.0,132707.0,0.0,-15802.0
IL,ACCOLADE HEALTHCARE OF DANVILLE,108.0,1746002.0,1315349.0,1270330.0,480023.0,0.0,45019.0
TN,CAMB OP LLC  DBA VIVIANT HEALTHCARE,130.0,1100961.0,1477941.0,1482241.0,673761.0,0.0,-4300.0
VA,FAIRFAX REHABILITATION AND NURSING C,200.0,8493181.0,7109421.0,5410728.0,4172596.0,13552.0,1698693.0
MO,WEST COUNTY CARE CENTER,137.0,2111783.0,1449190.0,2104111.0,158899.0,25365.0,-654921.0
CA,DELTA NURSING & REHAB CENTER,44.0,350243.0,268788.0,353187.0,69777.0,0.0,-84399.0
CA,KINGS NURSING & REHAB CENTER,70.0,526465.0,441409.0,499845.0,260989.0,0.0,-58436.0
IN,RIDGEWOOD HEALTH CAMPUS,132.0,3516461.0,3310774.0,3100188.0,738637.0,704.0,210586.0
MA,VERO HEALTH & REHAB OF WORCESTER,160.0,4418914.0,2740442.0,3095901.0,440715.0,0.0,-355459.0
LA,COLONIAL OAKS LIVING CENTER,110.0,1315912.0,1144426.0,1212505.0,146166.0,0.0,-68079.0
MN,CENTENNIAL GARDENS,115.0,1553242.0,1448886.0,1644008.0,136844.0,12848.0,-195122.0
OH,SOCIAL ROW TRANSITIONAL CARE,100.0,623528.0,516313.0,789888.0,84131.0,0.0,-273575.0
FL,APOPKA HEALTH AND REHABILITATION CEN,180.0,3195711.0,2098669.0,4687686.0,625308.0,0.0,-2589017.0
MO,IGNITE MEDICAL RESORT ST MARYS LLC,187.0,1491435.0,1436376.0,1849469.0,238537.0,0.0,-413093.0
NE,AZRIA HEALTH CENTENNIAL PARK,62.0,1439181.0,1319360.0,1343594.0,749162.0,0.0,-24234.0
TX,SHARPVIEW RESIDENCE & REHAB,134.0,2224881.0,1945096.0,2103839.0,473009.0,0.0,-158743.0
MD,CATONSVILLE COMMONS,136.0,4936739.0,3714880.0,4255445.0,442127.0,18409.0,-540565.0
MD,CHESAPEAKE WOODS CENTER,98.0,4631621.0,3063431.0,3332098.0,524839.0,23094.0,-268667.0
MI,MISSION POINT NURSING & PHYSICAL REH,39.0,1182514.0,820507.0,968194.0,178915.0,0.0,-147687.0
MI,MISSION POINT NURSING AND PHYSICAL R,63.0,1807232.0,1648173.0,1635784.0,332498.0,0.0,12389.0
MO,IGNITE MEDICAL RESORT BLUE SPRINGS,90.0,2257639.0,1646633.0,2832897.0,1242275.0,0.0,-1186264.0
TX,PARKS HEALTH CENTER,90.0,1110352.0,1152382.0,2530334.0,503913.0,10032.0,-1377952.0
MA,VERO HEALTH & REHAB AMESBURY,124.0,3089350.0,2479530.0,2336607.0,556920.0,0.0,142923.0
NH,ALPINE HEALTHCARE CENTER,85.0,740260.0,840728.0,951042.0,239799.0,0.0,-110314.0
IL,HELIA HEALTHCARE OF NEWTON,57.0,571206.0,594102.0,482372.0,324577.0,0.0,111730.0
MA,WINGATE AT NORTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,SKLD NEW LEBANON ILLUMINATE HC,120.0,2595236.0,1669484.0,2330233.0,308220.0,0.0,-660749.0
OH,MARY SCOTT NURSING HOME,108.0,823849.0,691644.0,1097145.0,95835.0,6688.0,-405501.0
IL,PARIS HEALTH CARE CENTER,128.0,901420.0,900665.0,1083203.0,469824.0,0.0,-182538.0
MO,IGNITE MEDICAL RESORT CARONDELET LLC,162.0,2011948.0,1624006.0,1908432.0,466352.0,26802.0,-284426.0
TX,TRINITY REHABILITATION & HEALTHCARE,76.0,1076365.0,1076365.0,1212560.0,332988.0,0.0,-136195.0
MI,MISSION POINT NURSING & PHYSICAL REH,96.0,1759214.0,1527344.0,1568901.0,219962.0,0.0,-41557.0
TX,UNIVERSITY PARK NURSING AND REHABILI,100.0,584978.0,659739.0,855513.0,77621.0,0.0,-195774.0
OH,GENEVA VILLAGE RETIREMENT COMMUNITY,80.0,957977.0,957977.0,1533811.0,169556.0,3154.0,-575834.0
RI,HOPKINS MANOR LTD.,200.0,2224690.0,2113650.0,3814336.0,97154.0,0.0,-1700686.0
VA,BELVOIR WOODS HEALTH CARE CENTER,483.0,6654411.0,6037587.0,16305177.0,745830.0,0.0,-10267590.0
TX,COUNTRY VILLAGE CARE,128.0,2481724.0,2625518.0,3018740.0,874229.0,0.0,-393222.0
IL,HOPE CREEK CARE CENTER,245.0,3170417.0,3169739.0,3798452.0,1018531.0,0.0,-628713.0
IA,ARBOR COURT,74.0,505732.0,955186.0,999234.0,443553.0,0.0,-44048.0
KS,BELLEVILLE HEALTHCARE,72.0,539048.0,415848.0,583071.0,181325.0,0.0,-167223.0
KS,GRAND PLAINS SKILLED NURSING,45.0,360612.0,360612.0,1016226.0,129488.0,0.0,-655614.0
MA,BLUPOINT MANAGEMENT II LLC DBA BLACK,123.0,1562143.0,1561572.0,2070618.0,341168.0,0.0,-509046.0
MA,VERO HEALTH & REHAB OF WATERTOWN,163.0,4547959.0,2635271.0,3139160.0,427718.0,0.0,-503889.0
MA,VERO HEALTH & REHAB OF REVERE,119.0,3186366.0,2231989.0,2753439.0,255822.0,0.0,-521450.0
RI,WOODPECKER HILL HEALTH CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,NAVASOTA NURSING & REHABILITATION  L,172.0,184721.0,198113.0,359261.0,44276.0,0.0,-161148.0
KS,SPRING VIEW MANOR HEALTHCARE AND REH,45.0,336632.0,384372.0,478259.0,73327.0,0.0,-93887.0
OK,OAK RIDGE NURSING CENTER,104.0,511691.0,493824.0,532812.0,83677.0,12531.0,-38988.0
WA,RENTON NURSING AND REHAB CENTER,99.0,1829097.0,1462576.0,2296085.0,102207.0,176.0,-833509.0
TX,LA HACIENDA DE PAZ REHABILITATION AN,104.0,2026169.0,2114564.0,1842889.0,659581.0,16743.0,271675.0
IN,THORNTON TERRACE HEALTH CAMPUS,83.0,1287546.0,1168078.0,1347438.0,606089.0,2992.0,-179360.0
MI,HEARTLAND OF BATTLE CREEK MI  LLC,65.0,1239171.0,957005.0,981392.0,156687.0,7920.0,-24387.0
MN,BETHANY RESIDENCE & REHAB CENTER,139.0,741331.0,741331.0,1035583.0,106187.0,0.0,-294252.0
OH,URSULINE CENTER,36.0,618635.0,481647.0,1261671.0,7679.0,0.0,-780024.0
LA,PARK PLACE HEALTHCARE,89.0,1547339.0,1639398.0,1298473.0,559630.0,0.0,340925.0
MN,FRANKLIN RESTORATIVE CARE CENTER,46.0,673466.0,659273.0,627322.0,220320.0,4782.0,31951.0
MN,OLIVIA RESTORATIVE CARE CENTER,57.0,615819.0,593655.0,589757.0,150301.0,4224.0,3898.0
MN,SWIFT BENSON HOLDINGS LLC,43.0,404757.0,401392.0,577594.0,63596.0,5456.0,-176202.0
MN,WABASSO RESTORATIVE CARE CENTER,44.0,520130.0,501457.0,470509.0,108283.0,4224.0,30948.0
MT,BIG SKY CARE CENTER,108.0,485729.0,346469.0,629395.0,57371.0,0.0,-282926.0
WA,TALBOT CENTER FOR REHAB AND HEALTHCA,136.0,1948210.0,1550471.0,2403883.0,218475.0,5456.0,-853412.0
TX,MIDLOTHIAN HEALTHCARE CENTER,120.0,3079449.0,3219160.0,2982953.0,1299259.0,0.0,236207.0
KS,MAPLE HEIGHTS OF HIAWATHA,82.0,754380.0,729229.0,812506.0,118369.0,0.0,-83277.0
MI,CAMBRIDGE SOUTH HCC,102.0,4122500.0,1271391.0,1750993.0,81848.0,15047.0,-479602.0
WA,PRESTIGE CARE & REHAB - BURLINGTON,49.0,1171838.0,864150.0,1130045.0,151412.0,16639.0,-265895.0
RI,SAINT ELIZABETH MANOR  EAST BAY,133.0,3770243.0,2824169.0,4701622.0,368300.0,0.0,-1877453.0
WI,NEILLSVILLE CARE & REHAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,MARSHFIELD CLINIC COMFORT AND RECOVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,MAGNOLIA REHABILITIATION & NURSING,120.0,2528374.0,2492279.0,2804667.0,121615.0,0.0,-312388.0
FL,THE COURT AT PALM AIRE,295.0,4745129.0,4391003.0,5760071.0,573332.0,51940.0,-1369068.0
MA,SAUGUS REHAB & NURSING,80.0,808045.0,747340.0,795417.0,136481.0,704.0,-48077.0
MN,FAIRFAX COMMUNITY HOME INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,ADVANCED CARE CTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,MARSHFIELD CLNC COMFORT RECOVERY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,MARSHFIELD CLINIC COMFORT AND RECOVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,CASSENA CARE AT NEW BRITAIN,90.0,248455.0,1082779.0,1366674.0,142475.0,0.0,-283895.0
FL,2010 KENILWORTH CARE & REHABILITATIO,104.0,6139768.0,4624834.0,5981969.0,1712190.0,184561.0,-1357135.0
FL,HARBORCHASE OF VENICE,45.0,1651608.0,1522394.0,3040265.0,789639.0,0.0,-1517871.0
FL,HARBORCHASE OF NAPLES,40.0,2594199.0,1853588.0,3228230.0,779080.0,0.0,-1374642.0
IL,HEARTLAND OF HENRY IL LLC,94.0,2679128.0,2193902.0,2347308.0,425298.0,2358.0,-153406.0
MO,GARDEN VALLEY HEALTHCARE CENTER,156.0,1611640.0,1230765.0,2844346.0,210442.0,280495.0,-1613581.0
OK,HIGHER CALL NURSING CENTER,86.0,1613072.0,1567496.0,1800993.0,43733.0,0.0,-233497.0
TN,7013 PIGEON FORGE CARE & REHABILITAT,120.0,3832680.0,2636854.0,4083429.0,506069.0,59149.0,-1446575.0
TX,SPJST REST HOME #1,96.0,3649436.0,3649435.0,2212064.0,770197.0,0.0,1437371.0
IA,LONGVIEW HOME,112.0,1725782.0,1553338.0,1802315.0,139291.0,18024.0,-248977.0
MA,MAPLEWOOD REHAB & NURSING,100.0,1046825.0,1007465.0,1075739.0,376884.0,7949.0,-68274.0
MA,SRC HARWICH LLC,125.0,2366146.0,2162786.0,3110837.0,317863.0,2112.0,-948051.0
NM,THE MONTEBELLO ON ACADEMY,209.0,3251043.0,3220948.0,3115824.0,8236.0,0.0,105124.0
TX,FOCUSED CARE AT SUMMER PLACE,132.0,2423697.0,2423697.0,2990408.0,544937.0,14663.0,-566711.0
IL,LEXINGTON HC OF SCHAUMBURG,214.0,8700133.0,5182277.0,6921515.0,1197533.0,17981.0,-1739238.0
IL,LEXINGTON HC CENTER OF LAKE ZURICH,203.0,9318745.0,5230964.0,6569668.0,1128668.0,0.0,-1338704.0
TX,FPACP CLARKSVILLE LLC,120.0,1384556.0,1384556.0,1340750.0,303273.0,11544.0,43806.0
VA,THREE RIVERS HEALTH & REHAB CENTER,60.0,977079.0,905260.0,915950.0,116852.0,0.0,-10690.0
VA,NORTHERN NECK SENIOR CARE COMMUNITY,120.0,1392703.0,1225249.0,1447016.0,179077.0,0.0,-221767.0
TX,FOCUSED CARE AT LINDEN,131.0,975034.0,975723.0,1066096.0,121087.0,0.0,-90373.0
TX,TEMPLE MERIDIAN,60.0,495867.0,488779.0,663829.0,51642.0,0.0,-175050.0
RI,SILVER CREEK MANOR,128.0,2791867.0,2281813.0,2441889.0,268754.0,0.0,-160076.0
TX,THE FORUM AT LINCOLN HEIGHTS,268.0,6340509.0,6210609.0,6112713.0,616463.0,0.0,97896.0
AZ,THE GARDENS OF SCOTTSDALE,134.0,2954726.0,2894960.0,3833209.0,1007622.0,0.0,-938249.0
SC,SAVANNAH GRACE AT THE PALMS OF MT. P,249.0,4702066.0,4300015.0,4930903.0,728187.0,0.0,-630888.0
AZ,PUEBLO NORTE SENIOR LIVING COMMUNITY,292.0,4906696.0,4988016.0,5806268.0,1187034.0,0.0,-818252.0
FL,PARKSIDE HEALTH AND REHABILITATION C,122.0,3596190.0,1586091.0,1754268.0,144652.0,0.0,-168177.0
FL,FLAGLER HEALTH AND REHABILITATION CE,120.0,2783486.0,1430489.0,1681880.0,407630.0,7024.0,-251391.0
IL,LEXINGTON HC CENTER OF LAGRANGE,120.0,5521471.0,3393426.0,4592224.0,1431214.0,20467.0,-1198798.0
OR,LIFE CARE CENTER OF COOS BAY,114.0,7255105.0,7255105.0,7078798.0,2727951.0,3900.0,176307.0
PA,TIMBER RIDGE HEALTH CENTER,180.0,6360751.0,3534823.0,5999311.0,346831.0,15754.0,-2464488.0
PA,SOUTHWESTERN NURSING CARE CENTER,248.0,4898166.0,3376741.0,9091492.0,159401.0,12848.0,-5714751.0
